nan,1.00E+00,1.97E+00,9.68E+00,1.93E+01,4.79E+01,9.71E+01,2.01E+02,5.21E+02,1.12E+03,1.91E+03,5.66E+03,9.51E+03
800,1.012297514,1.038550245,1.095796802,1.026345409,1.085235258,1.183415744,1.055443229,1.129629476,1.049890818,1.054487831,1.17554143,1.049138438
820,1.011656655,1.037061372,1.092881966,1.022656008,1.082744597,1.175949754,1.051267523,1.125297435,1.048431827,1.051152631,1.169430374,1.048143372
840,1.011016606,1.035576763,1.089982596,1.018993037,1.080265344,1.170425336,1.047124727,1.120998493,1.046976885,1.049514571,1.163382526,1.047150191
860,1.010377367,1.034096398,1.087098569,1.015356213,1.077797418,1.164952581,1.043014454,1.116732272,1.045525976,1.04842699,1.157396911,1.046158891
880,1.009738935,1.032620259,1.084229764,1.011745256,1.075340742,1.159530768,1.038936324,1.112498401,1.044079083,1.047341661,1.151472573,1.045169465
900,1.00910131,1.031148328,1.08137606,1.008159892,1.07289524,1.154159188,1.03488996,1.108296512,1.041964173,1.046258577,1.145608575,1.04418191
920,1.00846449,1.029680588,1.078537339,1.00459985,1.070460836,1.148837146,1.032635179,1.104126244,1.039781192,1.045177731,1.139804001,1.043196219
940,1.007828473,1.02821702,1.075713482,1.001064861,1.068037455,1.143563962,1.032025971,1.099987243,1.037607339,1.044099116,1.134057952,1.042212387
960,1.007193257,1.026757607,1.072904374,0.997554663,1.065625021,1.138338964,1.031417482,1.095879157,1.035442557,1.043022724,1.128369546,1.041230409
980,1.006558842,1.025302331,1.070109899,0.994068996,1.063223461,1.133161495,1.030809709,1.091801641,1.033286789,1.04194855,1.122737922,1.04025028
1000,1.006344816,1.023851175,1.067329944,0.990607604,1.0608327,1.128030911,1.030202653,1.087754356,1.031139979,1.040876586,1.117162232,1.039271995
1020,1.006159627,1.02240412,1.064564394,0.98982491,1.058452668,1.122946576,1.029596311,1.083736967,1.029002071,1.039806825,1.111641649,1.038295547
1040,1.005974506,1.02096115,1.061813139,0.989910139,1.056083291,1.117907868,1.028990682,1.079749143,1.02687301,1.038739261,1.106175358,1.037320933
1060,1.005789453,1.019522247,1.059076068,0.989995383,1.053724498,1.112914176,1.028385766,1.075790559,1.024752741,1.037673887,1.100762563,1.036348147
1080,1.005604469,1.018087395,1.056353072,0.990080642,1.051376219,1.1079649,1.02778156,1.071860896,1.02264121,1.036610695,1.095402483,1.035377183
1100,1.005419552,1.016656575,1.053644042,0.990165915,1.049038383,1.103059448,1.027178064,1.067959836,1.020538363,1.035549681,1.090094351,1.034408038
1120,1.005234704,1.015229772,1.050948871,0.990251203,1.04671092,1.098197243,1.026575276,1.06408707,1.018444146,1.034490836,1.084837415,1.033440705
1140,1.005049923,1.013806967,1.048267453,0.990336506,1.044393763,1.093377714,1.025973195,1.06024229,1.016358506,1.033434154,1.08241847,1.032475179
1160,1.00486521,1.012388146,1.045599683,0.990421823,1.042086842,1.088600301,1.02537182,1.056425194,1.015671129,1.032379629,1.080394732,1.031511456
1180,1.004680565,1.01097329,1.042945457,0.990507155,1.03979009,1.083864456,1.02477115,1.052635484,1.015301108,1.031327254,1.078378547,1.03054953
1200,1.004495988,1.009934743,1.040304673,0.990592502,1.037503439,1.079169639,1.024171183,1.050326149,1.014931356,1.030277022,1.076369873,1.029589397
1220,1.004311479,1.009594304,1.037677228,0.990677863,1.035226824,1.074515317,1.023571918,1.049038489,1.014561873,1.029228926,1.074368668,1.028631051
1240,1.004127038,1.009254095,1.035063021,0.99076324,1.032960178,1.06990097,1.022973354,1.047753982,1.01419266,1.028182961,1.072374891,1.027674487
1260,1.003942664,1.008914115,1.032461953,0.990848631,1.030703437,1.065326085,1.022375489,1.046472617,1.013823715,1.02713912,1.0703885,1.026737914
1280,1.003758358,1.008574365,1.029873926,0.990934036,1.028456534,1.060790158,1.021778323,1.045194382,1.013455038,1.026097396,1.068409454,1.025970341
1300,1.00357412,1.008234843,1.02729884,0.99104163,1.026219407,1.056292693,1.021181855,1.043919266,1.013086629,1.025057783,1.066437713,1.025203915
1320,1.003389949,1.007895549,1.0247366,0.991279467,1.023991991,1.053078481,1.020586082,1.042647258,1.012718488,1.024020275,1.064473236,1.024438634
1340,1.003205846,1.007556484,1.023491933,0.991517419,1.021774223,1.051483876,1.019991004,1.041378346,1.012350615,1.022984865,1.062515983,1.023674494
1360,1.00302181,1.007217647,1.022717422,0.991755485,1.021001932,1.049894093,1.019396619,1.040112518,1.011983009,1.021951546,1.060565915,1.022911493
1380,1.002837842,1.006879037,1.021944082,0.991993665,1.020306758,1.04830911,1.018802927,1.038849764,1.011615669,1.020920313,1.058622992,1.022149629
1400,1.002653942,1.006540656,1.021171911,0.99223196,1.01961253,1.046728906,1.018209926,1.037590073,1.011248597,1.019891158,1.056687174,1.021388899
1420,1.002470109,1.006202501,1.020400906,0.992470369,1.018919246,1.045153458,1.017617615,1.036333432,1.01088179,1.018864077,1.054758423,1.0206293
1440,1.002286343,1.005864574,1.019631064,0.992708893,1.018226904,1.043582746,1.017025992,1.035079832,1.01051525,1.017839062,1.052836701,1.01987083
1460,1.002139604,1.005526873,1.018862383,0.992947531,1.017535503,1.042016748,1.016435057,1.033829261,1.010148975,1.016816108,1.050921968,1.019113487
1480,1.002041407,1.0051894,1.01809486,0.993186284,1.01684504,1.040455442,1.015844809,1.032581709,1.009782965,1.015795208,1.049014187,1.018357268
1500,1.001943229,1.004852153,1.017328493,0.993425152,1.016155513,1.038898808,1.015255245,1.031337163,1.009417221,1.014776355,1.04711332,1.01760217
