# Filter transmission curve produced by Materion. 
#Truncated at T<1% due to measurement noise. 
#True CGI curve may differ slightly (TBD) due to difference in f/number in Materion test setup and vacuum vs. air. 
lambda_nm,%T
774.5,2.607397318
775,6.119506836
775.5,12.29881001
776,21.22951508
776.5,32.43777084
777,46.04741669
777.5,60.5358429
778,74.46871185
778.5,86.31536865
779,93.76290131
779.5,97.21960449
780,98.1055603
780.5,98.16951752
781,97.9030304
781.5,97.70967865
782,97.68265533
782.5,97.79682922
783,98.03553009
783.5,98.31847382
784,98.6043396
784.5,98.87443542
785,99.02718353
785.5,99.18736267
786,99.26405334
786.5,99.20742798
787,99.14316559
787.5,98.94221497
788,98.65193939
788.5,98.55516052
789,98.4324646
789.5,98.27626038
790,98.33323669
790.5,98.40023804
791,98.5348587
791.5,98.67603302
792,98.91829681
792.5,99.10044861
793,99.17909241
793.5,99.26438141
794,99.34832764
794.5,99.31990051
795,99.27350616
795.5,99.26464081
796,99.24629211
796.5,99.10198212
797,98.99059296
797.5,98.85362244
798,98.67990875
798.5,98.63317871
799,98.70613098
799.5,98.72871399
800,98.85072327
800.5,98.92288208
801,99.03604126
801.5,99.20272064
802,99.20328522
802.5,99.17562866
803,99.16133881
803.5,99.24816895
804,99.17129517
804.5,99.10821533
805,99.05590057
805.5,98.95515442
806,98.60359192
806.5,98.35285187
807,97.93200684
807.5,97.71168518
808,97.57345581
808.5,97.64571381
809,97.75281525
809.5,98.09890747
810,98.38904572
810.5,98.56027222
811,98.7377243
811.5,98.72770691
812,98.56394196
812.5,98.46011353
813,98.34515381
813.5,98.29756927
814,98.27790833
814.5,98.25579071
815,98.30797577
815.5,98.3145752
816,98.15906525
816.5,98.05577087
817,97.84544373
817.5,97.71379089
818,97.63305664
818.5,97.63643646
819,97.71598816
819.5,97.62771606
820,97.70117188
820.5,97.74869537
821,97.9016037
821.5,97.90232849
822,98.03433228
822.5,98.12084961
823,98.08516693
823.5,98.11482239
824,98.11250305
824.5,98.03469086
825,97.94036102
825.5,98.0965271
826,98.27873993
826.5,98.46389008
827,98.69721985
827.5,98.85894012
828,98.93021393
828.5,98.89567566
829,98.63631439
829.5,98.49500275
830,98.43567657
830.5,98.29528809
831,98.02468109
831.5,97.80431366
832,97.33279419
832.5,96.59515381
833,95.84128571
833.5,94.99229431
834,94.33330536
834.5,94.02957916
835,94.16448212
835.5,94.6627655
836,95.39266205
836.5,96.19602203
837,97.05699921
837.5,97.79457092
838,98.29811096
838.5,98.43067169
839,98.3783493
839.5,98.31827545
840,98.05306244
840.5,97.87277222
841,97.73587036
841.5,97.70256042
842,97.73091125
842.5,98.06996918
843,98.33365631
843.5,98.55279541
844,98.77254486
844.5,98.78225708
845,98.85475922
845.5,98.68682861
846,98.35428619
846.5,98.2307663
847,98.06269836
847.5,98.02948761
848,98.01639557
848.5,98.34991455
849,98.62162018
849.5,98.81937408
850,98.93099213
850.5,99.03549194
851,98.93656158
851.5,98.81784821
852,98.66210175
852.5,98.34527588
853,98.11716461
853.5,97.81734467
854,97.65375519
854.5,97.69297028
855,97.68740845
855.5,97.98963928
856,98.20220947
856.5,98.46676636
857,98.51070404
857.5,98.62549591
858,98.43197632
858.5,98.22462463
859,97.92352295
859.5,97.40486145
860,97.13057709
860.5,96.77129364
861,96.77594757
861.5,96.79536438
862,97.08629608
862.5,97.19421387
863,96.92913818
863.5,96.76654053
864,96.02629852
864.5,95.32683563
865,94.68447876
865.5,94.47962952
866,94.56920624
866.5,95.06407928
867,95.39228821
867.5,95.73034668
868,95.45861816
868.5,95.16710663
869,94.95645142
869.5,95.12712096999999
870,95.11745453
870.5,95.14229584
871,94.99565125
871.5,93.28001404
872,90.44902039
872.5,85.44277954
873,76.62340546
873.5,63.92355728
874,48.34553528
874.5,32.72177124
875,18.56053543
875.5,8.367739677
876,2.870337009
