# Filter transmission curve produced by Materion. 
#Truncated at T<1% due to measurement noise. 
#True CGI curve may differ slightly (TBD) due to difference in f/number in Materion test setup and vacuum vs. air. 
lambda_nm,%T
601,1.3001729483352324
601.5,3.386690123889491
602,7.382010418293351
602.5,14.143447378912114
603,24.47849782223457
603.5,37.60763624851235
604,52.6092456880712
604.5,67.66246276009122
605,80.23156714506919
605.5,89.205462697482
606,94.03010681772564
606.5,95.52692660102736
607,94.88472386874645
607.5,93.36145451407988
608,91.93339904067327
608.5,91.25706634026977
609,91.3150857575214
609.5,91.74774762740232
610,91.95353617342089
610.5,91.6544213534837
611,90.82009428087063
611.5,90.03100125983079
612,89.7703342303015
612.5,90.22675563200285
613,91.26946959680629
613.5,92.50005884467764
614,93.5415118503144
614.5,94.14578646142174
615,94.32266464999611
615.5,94.23483310694074
616,94.17341293134776
616.5,94.40520016455143
617,95.00900860591135
617.5,95.88234135208589
618,96.84187020577428
618.5,97.54262731010886
619,97.84107725793542
619.5,97.58261117986831
620,96.86838091940989
620.5,95.89573043758745
621,95.01713987683206
621.5,94.48594741793865
622,94.5151099672162
622.5,95.08491834774534
623,96.02552518116649
623.5,97.00800350170519
624,97.78508302815108
624.5,98.11751774122393
625,97.9056078061507
625.5,97.3771436007209
626,96.73876959262634
626.5,96.169190475579
627,95.92881342445746
627.5,96.03319792512362
628,96.40203997560293
628.5,96.8350915974096
629,97.08959903398177
629.5,97.01020445316738
630,96.61910837908378
630.5,95.94676490132736
631,95.19437725621358
631.5,94.63437378604915
632,94.4347601085386
632.5,94.7057746460185
633,95.39682617614481
633.5,96.39578867925644
634,97.44055838262904
634.5,98.28010506592047
635,98.91782947745531
635.5,99.17881747385577
636,99.27607947093452
636.5,99.26779534433692
637,99.18593234467608
637.5,99.18721623219427
638,99.20454105087275
638.5,99.205236484102
639,99.1349743087746
639.5,98.9189452337457
640,98.64336068214718
640.5,98.19792873215553
641,97.76066626700383
641.5,97.32273129697441
642,97.08540347620443
642.5,97.12084025018001
643,97.3819658066729
643.5,97.86628879848512
644,98.31856814189605
644.5,98.69878939601084
645,98.9117310167522
645.5,98.86941628823872
646,98.70412362841336
646.5,98.47387247456122
647,98.35603009332216
647.5,98.33983631650177
648,98.49007388414869
648.5,98.79794664321479
649,99.13404960204679
649.5,99.43079534931074
650,99.69519939963699
650.5,99.84717938176573
651,99.90514529953045
651.5,99.90905045155522
652,99.9297913241595
652.5,99.90625341303699
653,99.8872014654444
653.5,99.86798902940784
654,99.84721759568494
654.5,99.79480754103744
655,99.64524248828502
655.5,99.35863027105755
656,98.96031234721335
656.5,98.42985352545163
657,97.91098025247243
657.5,97.55269205509074
658,97.45719540084535
658.5,97.67387406241717
659,98.11975689658858
659.5,98.70044773987037
660,99.15507323761976
660.5,99.41421182056459
661,99.55784654384172
661.5,99.5456267041007
662,99.51456125189738
662.5,99.4945846075937
663,99.5501126676306
663.5,99.56590140695752
664,99.48607886029814
664.5,99.30176482401554
665,99.01914182943513
665.5,98.70856373524018
666,98.56666378366101
666.5,98.59616259539419
667,98.7884550569374
667.5,99.08121159157105
668,99.35107980162518
668.5,99.5131703754221
669,99.469434199298
669.5,99.33047648911334
670,99.16439669266934
670.5,99.02578287770739
671,99.06343588871282
671.5,99.23549186131844
672,99.47181091475507
672.5,99.7081299681917
673,99.89902391047579
673.5,99.95397116902433
674,99.99109686801158
674.5,100
675,99.88684228465401
675.5,99.67318993509896
676,99.27681311808301
676.5,98.68679117696779
677,97.98009611039082
677.5,97.31589154633897
678,96.80093871095224
678.5,96.58514654218901
679,96.63253568852132
679.5,96.89523553828496
680,97.24286289361196
680.5,97.61924777073982
681,97.87264709380543
681.5,98.12999741558214
682,98.35372215290292
682.5,98.58253659361023
683,98.87076895079477
683.5,99.17582938577496
684,99.4058589289459
684.5,99.57324553124288
685,99.5442969698962
685.5,99.32369023796481
686,98.78045370332526
686.5,98.08163771583568
687,97.24208339977719
687.5,96.42401887902236
688,95.75649761723467
688.5,95.38388033203917
689,95.30031312179896
689.5,95.46734054330557
690,95.88172996944539
690.5,96.40926947816413
691,96.9745842623963
691.5,97.51062186561002
692,97.99827685074251
692.5,98.44117159683312
693,98.82422045058475
693.5,99.10322869889293
694,99.20733044660713
694.5,99.17587524247803
695,98.92816169983823
695.5,98.44826352928514
696,97.82995024613327
696.5,97.10272829488291
697,96.36951487188648
697.5,95.75879026206947
698,95.39436540008221
698.5,95.15342283304
699,95.05489987679456
699.5,95.01100321222648
700,94.96555518273918
700.5,94.85655481125131
701,94.7602251636842
701.5,94.75974370836906
702,94.97536009310389
702.5,95.33645297178765
703,95.84299177328494
703.5,96.35861712356616
704,96.81387691227404
704.5,97.12206300544423
705,97.32700327257344
705.5,97.40993618183838
706,97.47573532198743
706.5,97.45698906571506
707,97.29898705072165
707.5,96.87577091041507
708,95.90615437337648
708.5,94.47820588892692
709,92.65242857873216
709.5,90.79612841391992
710,89.35471441613036
710.5,88.64135537292961
711,88.73922873261535
711.5,89.2588662238784
712,89.49126483972256
712.5,88.61816136704658
713,85.59181327993123
713.5,79.81629122612077
714,71.000183720804
714.5,59.15154560706325
715,45.90814897468326
715.5,32.432903976845594
716,20.174933645999253
716.5,11.063804657540823
717,5.166467734836327
717.5,1.9176504905695853
