# Filter transmission curve produced by Materion. 
#Truncated at T<1% due to measurement noise. 
#True CGI curve may differ slightly (TBD) due to difference in f/number in Materion test setup and vacuum vs. air. 
lambda_nm,%T
665.5,1.134022355
666,3.027052641
666.5,7.560984612
667,16.21899223
667.5,29.89443016
668,46.38880157
668.5,63.80021667
669,79.69788361
669.5,90.42789459
670,95.97458649
670.5,97.93623352
671,98.5001297
671.5,98.79405212
672,99.01778412
672.5,99.14266205
673,99.12802887
673.5,99.03844452
674,98.95560455
674.5,98.72371674
675,98.53421783
675.5,98.23595428
676,97.87637329
676.5,97.49089813
677,97.24849701
677.5,97.21984863
678,97.39849091
678.5,97.6439743
679,97.81321716
679.5,97.78489685
680,97.55740356
680.5,97.41259003
681,97.40080261
681.5,97.60211182
682,97.93234253
682.5,98.24222565
683,98.38591003
683.5,98.33356476
684,98.1483078
684.5,97.78238678
685,97.47267151
685.5,97.15261841
686,96.98886871
686.5,97.0112915
687,97.21164703
687.5,97.3359375
688,97.24887085
688.5,96.73415375
689,96.3131485
689.5,96.21191406
690,96.43402863
690.5,96.80392456
691,96.23623657
691.5,92.87851715
692,84.25907135
692.5,68.98257446
693,48.39720917
693.5,28.64116669
694,13.55405903
694.5,5.081246853
695,1.736072421
