# Filter transmission curve produced by Materion. 
#Truncated at T<1% due to measurement noise. 
#True CGI curve may differ slightly (TBD) due to difference in f/number in Materion test setup and vacuum vs. air. 
lambda_nm,%T
543.5,2.62223506
544,7.046983242
544.5,16.13804245
545,31.6402874
545.5,51.54069519
546,72.01272583
546.5,87.10562897
547,93.03697205
547.5,92.91194916
548,91.69495392
548.5,92.05001068
549,93.96981812
549.5,95.96953583
550,96.82724762
550.5,95.89777374
551,93.58200836
551.5,90.82911682
552,89.20240784
552.5,89.50035858
553,91.77245331
553.5,94.73375702
554,96.91140747
554.5,97.46907043
555,96.67098999
555.5,95.39193726
556,94.60858154
556.5,94.81651306
557,95.95736694
557.5,97.15691376
558,97.69484711
558.5,97.13855743
559,95.89714813
559.5,94.83798981
560,94.58621979
560.5,95.27588654
561,96.56955719
561.5,97.75156403
562,98.31775665
562.5,98.13916016
563,97.43697357
563.5,96.77692413
564,96.50816345
564.5,96.80419159
565,97.41926575
565.5,97.71026611
566,97.06268311
566.5,95.39664459
567,93.243927
567.5,91.69695282
568,91.51848602
568.5,92.79511261
569,94.72873688
569.5,96.70283508
570,98.0776825
570.5,98.77159882
571,98.89006042
571.5,98.67003632
572,98.45578766
572.5,98.40923309
573,98.3951416
573.5,98.15956116
574,97.20458221
574.5,95.2546463
575,92.63168335
575.5,90.20106506
576,88.72252655
576.5,88.90052795
577,90.50936127
577.5,93.09736633
578,95.49654388
578.5,97.18186188
579,97.8999939
579.5,97.96646118
580,97.92380524
580.5,97.92311859
581,98.21533203
581.5,98.57277679
582,98.84672546
582.5,98.90722656
583,98.81912231
583.5,98.35873413
584,97.63378906
584.5,96.69090271
585,95.74626923
585.5,95.11701202
586,95.18188477
586.5,95.79512787
587,96.62108612
587.5,97.26956177
588,97.47356415
588.5,97.34996796
589,97.287323
589.5,97.48419952
590,97.67388916
590.5,97.20954895
591,95.73603821
591.5,93.51905823
592,91.41559601
592.5,90.4797287
593,90.99110413
593.5,92.51161194
594,94.18556976
594.5,95.41777039
595,96.0429306
595.5,96.33422089
596,96.60414124
596.5,96.88964844
597,97.0973053
597.5,96.75981903
598,95.75063324
598.5,94.19282532
599,92.8374176
599.5,92.18450165
600,92.00694275
600.5,90.4809494
601,83.8256073
601.5,69.58136749
602,49.08872223
602.5,27.68443489
603,12.29771996
603.5,4.186101437
604,1.29500711
