# Filter transmission curve produced by Materion. 
#Truncated at T<1% due to measurement noise. 
#True CGI curve may differ slightly (TBD) due to difference in f/number in Materion test setup and vacuum vs. air. 
lambda_nm,%T
688.5,1.946741581
689,5.350462914
689.5,12.53374386
690,24.29236221
690.5,39.639328
691,57.11380386
691.5,73.82277679
692,85.60559845
692.5,91.84492493
693,94.04990387
693.5,94.42072296
694,94.35018921
694.5,94.35779572
695,94.6394043
695.5,95.1210022
696,95.76455688
696.5,96.58153534
697,97.3102417
697.5,97.84294128
698,97.95516968
698.5,97.83664703
699,97.59008789
699.5,97.38980865
700,97.29090881
700.5,97.38381958
701,97.67137146
701.5,97.94834137
702,98.11876678
702.5,97.9318161
703,97.42292023
703.5,96.77307892
704,96.20483398
704.5,95.9181366
705,95.98274994
705.5,96.45253754
706,97.0042038
706.5,97.55940247
707,97.92317963
707.5,98.04290771
708,97.94683075
708.5,97.6178894
709,97.1673584
709.5,96.65142059
710,96.3724823
710.5,96.27614594
711,95.8735199
711.5,94.50344849
712,91.33155823
712.5,84.94326019
713,73.58865356
713.5,57.71269226
714,39.10775375
714.5,21.52568245
715,9.603467941
715.5,3.545237064
716,1.264983535
