# Filter transmission curve produced by Materion. 
#Truncated at T<1% due to measurement noise. 
#True CGI curve may differ slightly (TBD) due to difference in f/number in Materion test setup and vacuum vs. air. 
lambda_nm,%T
838.5,2.281103373
839,5.318284988
839.5,10.84360409
840,18.93813515
840.5,29.8079319
841,43.190513609999996
841.5,57.94519806
842,72.30450439
842.5,83.36347961
843,89.83574677
843.5,92.38195801
844,93.4364624
844.5,93.9568634
845,94.56826782
845.5,94.81633759
846,94.91538239
846.5,94.56040955
847,93.67848969
847.5,92.65696716
848,91.74810028
848.5,90.90318298
849,90.3300705
849.5,90.33866119
850,91.06642151
850.5,92.27986145
851,93.69274902
851.5,94.80098724
852,95.55825043
852.5,95.9524765
853,95.79483032
853.5,95.19686127
854,93.69874573
854.5,92.26284027
855,90.83835602
855.5,89.50224304
856,88.82529449
856.5,89.07236481
857,89.94302368
857.5,90.75970459
858,91.42999268
858.5,91.76212311
859,91.50287628
859.5,91.2424469
860,91.27848816
860.5,91.71116638
861,92.62174225
861.5,93.36694336
862,94.41060638
862.5,94.79428864
863,94.81108856
863.5,94.24248505
864,92.94239044
864.5,91.71135712
865,90.43691254
865.5,89.32411957
866,89.05238342
866.5,89.22154999
867,89.72057343
867.5,89.97161865
868,89.86342621
868.5,89.53034973
869,88.51000214
869.5,86.52971649
870,82.41040039
870.5,74.24715424
871,60.69789505
871.5,44.2693634
872,26.7557354
872.5,12.78135014
873,4.538541794
873.5,1.315397739
