# Filter transmission curve produced by Materion. 
#Truncated at T<1% due to measurement noise. 
#True CGI curve may differ slightly (TBD) due to difference in f/number in Materion test setup and vacuum vs. air. 
lambda_nm,%T
713,1.47617805
713.5,3.800706148
714,8.461511612
714.5,15.99529362
715,26.27761459
715.5,39.15308762
716,53.45459747
716.5,68.07023621
717,80.80206299
717.5,89.79665375
718,94.92982483
718.5,96.85245514
719,97.3427887
719.5,97.51346588
720,97.77384949
720.5,98.13366699
721,98.47615051
721.5,98.74281311
722,98.84688568
722.5,98.83795166
723,98.7329483
723.5,98.51490784
724,98.29811859
724.5,98.11035156
725,97.94398499
725.5,97.75770569
726,97.49851227
726.5,97.2520752
727,96.88398743
727.5,96.65181732
728,96.62328339
728.5,96.77813721
729,97.02037811
729.5,97.28778839
730,97.53518677
730.5,97.68135834
731,97.77599335
731.5,97.74250031
732,97.49845123
732.5,97.13707733
733,96.41797638
733.5,95.20082855
734,92.67784119
734.5,87.44489288
735,77.77334595
735.5,62.90353012
736,45.57038879
736.5,28.51318932
737,14.28209877
737.5,5.899062634
738,2.08187151
