# Filter transmission curve produced by Materion. 
#Truncated at T<1% due to measurement noise. 
#True CGI curve may differ slightly (TBD) due to difference in f/number in Materion test setup and vacuum vs. air. 
lambda_nm,%T
774,1.503393054
774.5,3.779611826
775,8.309972763
775.5,15.65544415
776,25.70594215
776.5,37.66309738
777,51.50606537
777.5,65.68690491
778,78.5421524
778.5,88.55155945
779,94.18572235
779.5,96.49324036
780,97.04647064
780.5,97.10809326
781,97.26959991
781.5,97.21054077
782,97.16724396
782.5,97.19725037
783,97.15886688
783.5,97.07201385
784,96.92201233
784.5,96.7592392
785,96.54304504
785.5,96.44905853
786,96.46020508
786.5,96.50248718
787,96.73768616
787.5,97.0883255
788,97.42559814
788.5,97.68354034
789,97.79048157
789.5,97.73381042
790,97.48413849
790.5,97.00508118
791,96.44545746
791.5,95.81676483
792,95.3844223
792.5,95.07421875
793,94.90450287
793.5,94.97158051
794,95.10639954
794.5,95.36252594
795,95.45411682
795.5,95.37888336
796,95.01003265
796.5,94.66210938
797,94.37471008
797.5,94.11423492
798,94.25786591
798.5,94.52485657
799,94.89575958
799.5,95.07430267
800,94.94374847
800.5,94.28076935
801,93.53063965
801.5,92.86895752
802,92.53860474
802.5,92.74726868
803,93.31552124
803.5,93.34109497
804,92.45952606
804.5,90.18874359
805,86.55696106
805.5,80.10902405
806,69.63167572
806.5,54.95596695
807,38.22042465
807.5,22.58443069
808,10.41745663
808.5,3.631387949
