# Filter transmission curve produced by Materion. 
#Truncated at T<1% due to measurement noise. 
#True CGI curve may differ slightly (TBD) due to difference in f/number in Materion test setup and vacuum vs. air. 
lambda_nm,%T
807,1.204182625
807.5,3.162686825
808,7.343564034
808.5,14.45257187
809,24.60978889
809.5,37.52537155
810,52.61500549
810.5,67.94036102
811,80.70885468
811.5,88.80978394
812,92.34494019
812.5,93.37674713
813,94.07345581
813.5,94.54816437
814,94.99471283
814.5,95.1005249
815,94.73417664
815.5,94.10783386
816,93.57420349
816.5,93.02722931
817,92.77297974
817.5,93.06060028
818,93.31785583
818.5,93.69159698
819,94.25982666
819.5,94.65058136
820,95.08589172
820.5,95.60163879
821,95.60066986
821.5,95.23110199
822,94.70072937
822.5,93.72721863
823,92.96554565
823.5,92.28098297
824,92.15089417
824.5,92.54603577
825,93.4567337
825.5,94.09523773
826,95.0124054
826.5,95.68981171
827,95.94650269
827.5,95.79462433
828,95.30389404
828.5,94.60430908
829,93.90944672
829.5,93.71763611
830,93.37611389
830.5,93.89476013
831,94.08364105
831.5,94.21252441
832,93.97090912
832.5,93.44459534
833,92.98474884
833.5,92.70753479
834,92.84369659
834.5,93.07475281
835,93.07562256
835.5,92.08370209
836,89.60687256
836.5,84.52487183
837,75.20609283
837.5,60.84946823
838,43.11647797
838.5,25.54709625
839,11.75564098
839.5,4.041862488
840,1.16523838
