# Filter transmission curve produced by Materion. 
#Truncated at T<1% due to measurement noise. 
#True CGI curve may differ slightly (TBD) due to difference in f/number in Materion test setup and vacuum vs. air. 
lambda_nm,%T
630,2.553656578
630.5,8.19055748
631,19.72608948
631.5,38.37952423
632,59.34857178
632.5,77.00325775
633,88.63591003
633.5,93.0453186
634,92.14408875
634.5,88.56638336
635,85.49575043
635.5,84.28400421
636,84.51153564
636.5,85.26911163
637,87.07287598
637.5,90.13430023
638,93.22301483
638.5,94.39846802
639,93.27830505
639.5,90.47745514
640,86.89321136
640.5,84.13012695
641,83.66394806
641.5,85.64718628
642,88.91687775
642.5,92.02707672
643,94.17041779
643.5,95.04003906
644,94.95652008
644.5,94.36031342
645,92.5362854
645.5,87.32347107
646,76.77319336
646.5,60.79568863
647,41.72370911
647.5,22.73674202
648,8.722807884
648.5,2.175623178
