# Filter transmission curve produced by Materion. 
#Truncated at T<1% due to measurement noise. 
#True CGI curve may differ slightly (TBD) due to difference in f/number in Materion test setup and vacuum vs. air. 
lambda_nm,%T
543,1.148140907
543.5,3.164474249
544,7.365199089
544.5,15.11584377
545,26.38548851
545.5,40.78945923
546,57.00786209
546.5,71.64466858
547,82.86642456
547.5,89.76339722
548,92.97943115
548.5,94.11235046
549,94.53853607
549.5,94.97335815
550,95.40241241
550.5,95.5278244
551,95.27069855
551.5,94.67111969
552,94.10951996
552.5,93.82350159
553,93.96655273
553.5,94.22510529
554,94.30596924
554.5,93.95028687
555,93.22734833
555.5,92.43160248
556,91.85984802
556.5,91.59857178
557,91.46416473
557.5,91.15903473
558,90.62069702
558.5,89.95900726
559,89.48021698
559.5,89.27760315
560,89.16210175
560.5,88.74117279
561,87.78595734
561.5,85.9458313
562,82.51617432
562.5,76.75866699
563,67.63407898
563.5,54.81229401
564,40.4200058
564.5,26.35173798
565,14.67542362
565.5,6.932487488
566,2.652906179
